bcov | 32 kDa non-structural protein [Bovine coronavirus], bcov | hemmaglutinin-esterase [Bovine coronavirus], 653
humanoc43 | ORF1a polyprotein [Human coronavirus OC43], sars1 | ORF9a protein [SARS coronavirus Tor2], 12936
humanoc43 | ORF1a polyprotein [Human coronavirus OC43], sars1 | ORF1ab polyprotein [SARS coronavirus Tor2], 10879
humanoc43 | ORF1a polyprotein [Human coronavirus OC43], sars1 | ORF1a polyprotein [SARS coronavirus Tor2], 6085
humanoc43 | ORF1ab polyprotein [Human coronavirus OC43], mers | spike protein [Middle East respiratory syndrome-related coronavirus], 17223
humanoc43 | ORF1ab polyprotein [Human coronavirus OC43], mers | NS3 protein [Middle East respiratory syndrome-related coronavirus], 20973
humanoc43 | ORF1ab polyprotein [Human coronavirus OC43], mers | NS4A protein [Middle East respiratory syndrome-related coronavirus], 20955
humanoc43 | ORF1ab polyprotein [Human coronavirus OC43], mers | NS4B protein [Middle East respiratory syndrome-related coronavirus], 20544
humanoc43 | ORF1ab polyprotein [Human coronavirus OC43], mers | NS5 protein [Middle East respiratory syndrome-related coronavirus], 20610
humanoc43 | ORF1ab polyprotein [Human coronavirus OC43], mers | envelope protein [Middle East respiratory syndrome-related coronavirus], 21036
humanoc43 | ORF1ab polyprotein [Human coronavirus OC43], mers | membrane protein [Middle East respiratory syndrome-related coronavirus], 20625
humanoc43 | ORF1ab polyprotein [Human coronavirus OC43], mers | nucleoprotein [Middle East respiratory syndrome-related coronavirus], 20043
humanoc43 | ORF1ab polyprotein [Human coronavirus OC43], mers | ORF8b protein [Middle East respiratory syndrome-related coronavirus], 20946
humanoc43 | ORF1ab polyprotein [Human coronavirus OC43], mers | 1AB polyprotein [Middle East respiratory syndrome-related coronavirus], 8942
humanoc43 | ORF1ab polyprotein [Human coronavirus OC43], mers | 1A polyprotein [Middle East respiratory syndrome-related coronavirus], 11085
humanoc43 | ORF1ab polyprotein [Human coronavirus OC43], sars1 | spike glycoprotein [SARS coronavirus Tor2], 17517
humanoc43 | ORF1ab polyprotein [Human coronavirus OC43], sars1 | ORF3a protein [SARS coronavirus Tor2], 20460
humanoc43 | ORF1ab polyprotein [Human coronavirus OC43], sars1 | ORF3b protein [SARS coronavirus Tor2], 20820
humanoc43 | ORF1ab polyprotein [Human coronavirus OC43], sars1 | small envelope protein [SARS coronavirus Tor2], 21054
humanoc43 | ORF1ab polyprotein [Human coronavirus OC43], sars1 | membrane glycoprotein M [SARS coronavirus Tor2], 20619
humanoc43 | ORF1ab polyprotein [Human coronavirus OC43], sars1 | ORF6 protein [SARS coronavirus Tor2], 21093
humanoc43 | ORF1ab polyprotein [Human coronavirus OC43], sars1 | ORF7a protein [SARS coronavirus Tor2], 20916
humanoc43 | ORF1ab polyprotein [Human coronavirus OC43], sars1 | ORF7b protein [SARS coronavirus Tor2], 21150
humanoc43 | ORF1ab polyprotein [Human coronavirus OC43], sars1 | ORF8a protein [SARS coronavirus Tor2], 21165
humanoc43 | ORF1ab polyprotein [Human coronavirus OC43], sars1 | ORF8b protein [SARS coronavirus Tor2], 21030
humanoc43 | ORF1ab polyprotein [Human coronavirus OC43], sars1 | nucleocapsid protein [SARS coronavirus Tor2], 20016
humanoc43 | ORF1ab polyprotein [Human coronavirus OC43], sars1 | ORF9b protein [SARS coronavirus Tor2], 20988
humanoc43 | ORF1ab polyprotein [Human coronavirus OC43], sars1 | ORF9a protein [SARS coronavirus Tor2], 21072
humanoc43 | ORF1ab polyprotein [Human coronavirus OC43], sars1 | ORF1ab polyprotein [SARS coronavirus Tor2], 8986
humanoc43 | ORF1ab polyprotein [Human coronavirus OC43], sars1 | ORF1a polyprotein [SARS coronavirus Tor2], 11092
mers | spike protein [Middle East respiratory syndrome-related coronavirus], mers | NS3 protein [Middle East respiratory syndrome-related coronavirus], 3750
mers | spike protein [Middle East respiratory syndrome-related coronavirus], mers | NS4A protein [Middle East respiratory syndrome-related coronavirus], 3732
mers | spike protein [Middle East respiratory syndrome-related coronavirus], mers | NS4B protein [Middle East respiratory syndrome-related coronavirus], 3321
mers | spike protein [Middle East respiratory syndrome-related coronavirus], mers | NS5 protein [Middle East respiratory syndrome-related coronavirus], 3387
mers | spike protein [Middle East respiratory syndrome-related coronavirus], mers | envelope protein [Middle East respiratory syndrome-related coronavirus], 3813
mers | spike protein [Middle East respiratory syndrome-related coronavirus], mers | membrane protein [Middle East respiratory syndrome-related coronavirus], 3402
mers | spike protein [Middle East respiratory syndrome-related coronavirus], mers | nucleoprotein [Middle East respiratory syndrome-related coronavirus], 2845
mers | spike protein [Middle East respiratory syndrome-related coronavirus], mers | ORF8b protein [Middle East respiratory syndrome-related coronavirus], 3723
mers | spike protein [Middle East respiratory syndrome-related coronavirus], mers | 1AB polyprotein [Middle East respiratory syndrome-related coronavirus], 17172
mers | spike protein [Middle East respiratory syndrome-related coronavirus], mers | 1A polyprotein [Middle East respiratory syndrome-related coronavirus], 9168
mers | spike protein [Middle East respiratory syndrome-related coronavirus], sars1 | spike glycoprotein [SARS coronavirus Tor2], 1869
mers | spike protein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF3a protein [SARS coronavirus Tor2], 3237
mers | spike protein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF3b protein [SARS coronavirus Tor2], 3597
mers | spike protein [Middle East respiratory syndrome-related coronavirus], sars1 | small envelope protein [SARS coronavirus Tor2], 3831
mers | spike protein [Middle East respiratory syndrome-related coronavirus], sars1 | membrane glycoprotein M [SARS coronavirus Tor2], 3396
mers | spike protein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF6 protein [SARS coronavirus Tor2], 3870
mers | spike protein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF7a protein [SARS coronavirus Tor2], 3693
mers | spike protein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF7b protein [SARS coronavirus Tor2], 3927
mers | spike protein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF8a protein [SARS coronavirus Tor2], 3942
mers | spike protein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF8b protein [SARS coronavirus Tor2], 3807
mers | spike protein [Middle East respiratory syndrome-related coronavirus], sars1 | nucleocapsid protein [SARS coronavirus Tor2], 2835
mers | spike protein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF9b protein [SARS coronavirus Tor2], 3765
mers | spike protein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF9a protein [SARS coronavirus Tor2], 3849
mers | spike protein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF1ab polyprotein [SARS coronavirus Tor2], 17157
mers | spike protein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF1a polyprotein [SARS coronavirus Tor2], 9142
mers | NS3 protein [Middle East respiratory syndrome-related coronavirus], mers | NS4A protein [Middle East respiratory syndrome-related coronavirus], 166
mers | NS3 protein [Middle East respiratory syndrome-related coronavirus], mers | NS4B protein [Middle East respiratory syndrome-related coronavirus], 458
mers | NS3 protein [Middle East respiratory syndrome-related coronavirus], mers | NS5 protein [Middle East respiratory syndrome-related coronavirus], 398
mers | NS3 protein [Middle East respiratory syndrome-related coronavirus], mers | envelope protein [Middle East respiratory syndrome-related coronavirus], 157
mers | NS3 protein [Middle East respiratory syndrome-related coronavirus], mers | membrane protein [Middle East respiratory syndrome-related coronavirus], 383
mers | NS3 protein [Middle East respiratory syndrome-related coronavirus], mers | nucleoprotein [Middle East respiratory syndrome-related coronavirus], 930
mers | NS3 protein [Middle East respiratory syndrome-related coronavirus], mers | ORF8b protein [Middle East respiratory syndrome-related coronavirus], 180
mers | NS3 protein [Middle East respiratory syndrome-related coronavirus], mers | 1AB polyprotein [Middle East respiratory syndrome-related coronavirus], 20922
mers | NS3 protein [Middle East respiratory syndrome-related coronavirus], mers | 1A polyprotein [Middle East respiratory syndrome-related coronavirus], 12861
mers | NS3 protein [Middle East respiratory syndrome-related coronavirus], sars1 | spike glycoprotein [SARS coronavirus Tor2], 3456
mers | NS3 protein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF3a protein [SARS coronavirus Tor2], 527
mers | NS3 protein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF3b protein [SARS coronavirus Tor2], 229
mers | NS3 protein [Middle East respiratory syndrome-related coronavirus], sars1 | small envelope protein [SARS coronavirus Tor2], 156
mers | NS3 protein [Middle East respiratory syndrome-related coronavirus], sars1 | membrane glycoprotein M [SARS coronavirus Tor2], 392
mers | NS3 protein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF6 protein [SARS coronavirus Tor2], 163
mers | NS3 protein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF7a protein [SARS coronavirus Tor2], 180
mers | NS3 protein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF7b protein [SARS coronavirus Tor2], 188
mers | NS3 protein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF8a protein [SARS coronavirus Tor2], 196
mers | NS3 protein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF8b protein [SARS coronavirus Tor2], 152
mers | NS3 protein [Middle East respiratory syndrome-related coronavirus], sars1 | nucleocapsid protein [SARS coronavirus Tor2], 958
mers | NS3 protein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF9b protein [SARS coronavirus Tor2], 161
mers | NS3 protein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF9a protein [SARS coronavirus Tor2], 166
mers | NS3 protein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF1ab polyprotein [SARS coronavirus Tor2], 20907
mers | NS3 protein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF1a polyprotein [SARS coronavirus Tor2], 12834
mers | NS4A protein [Middle East respiratory syndrome-related coronavirus], mers | NS4B protein [Middle East respiratory syndrome-related coronavirus], 447
mers | NS4A protein [Middle East respiratory syndrome-related coronavirus], mers | NS5 protein [Middle East respiratory syndrome-related coronavirus], 395
mers | NS4A protein [Middle East respiratory syndrome-related coronavirus], mers | envelope protein [Middle East respiratory syndrome-related coronavirus], 165
mers | NS4A protein [Middle East respiratory syndrome-related coronavirus], mers | membrane protein [Middle East respiratory syndrome-related coronavirus], 377
mers | NS4A protein [Middle East respiratory syndrome-related coronavirus], mers | nucleoprotein [Middle East respiratory syndrome-related coronavirus], 915
mers | NS4A protein [Middle East respiratory syndrome-related coronavirus], mers | ORF8b protein [Middle East respiratory syndrome-related coronavirus], 179
mers | NS4A protein [Middle East respiratory syndrome-related coronavirus], mers | 1AB polyprotein [Middle East respiratory syndrome-related coronavirus], 20904
mers | NS4A protein [Middle East respiratory syndrome-related coronavirus], mers | 1A polyprotein [Middle East respiratory syndrome-related coronavirus], 12843
mers | NS4A protein [Middle East respiratory syndrome-related coronavirus], sars1 | spike glycoprotein [SARS coronavirus Tor2], 3438
mers | NS4A protein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF3a protein [SARS coronavirus Tor2], 519
mers | NS4A protein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF3b protein [SARS coronavirus Tor2], 229
mers | NS4A protein [Middle East respiratory syndrome-related coronavirus], sars1 | small envelope protein [SARS coronavirus Tor2], 168
mers | NS4A protein [Middle East respiratory syndrome-related coronavirus], sars1 | membrane glycoprotein M [SARS coronavirus Tor2], 382
mers | NS4A protein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF6 protein [SARS coronavirus Tor2], 179
mers | NS4A protein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF7a protein [SARS coronavirus Tor2], 186
mers | NS4A protein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF7b protein [SARS coronavirus Tor2], 207
mers | NS4A protein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF8a protein [SARS coronavirus Tor2], 215
mers | NS4A protein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF8b protein [SARS coronavirus Tor2], 161
mers | NS4A protein [Middle East respiratory syndrome-related coronavirus], sars1 | nucleocapsid protein [SARS coronavirus Tor2], 940
mers | NS4A protein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF9b protein [SARS coronavirus Tor2], 172
mers | NS4A protein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF9a protein [SARS coronavirus Tor2], 180
mers | NS4A protein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF1ab polyprotein [SARS coronavirus Tor2], 20889
mers | NS4A protein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF1a polyprotein [SARS coronavirus Tor2], 12816
mers | NS4B protein [Middle East respiratory syndrome-related coronavirus], mers | NS5 protein [Middle East respiratory syndrome-related coronavirus], 365
mers | NS4B protein [Middle East respiratory syndrome-related coronavirus], mers | envelope protein [Middle East respiratory syndrome-related coronavirus], 503
mers | NS4B protein [Middle East respiratory syndrome-related coronavirus], mers | membrane protein [Middle East respiratory syndrome-related coronavirus], 372
mers | NS4B protein [Middle East respiratory syndrome-related coronavirus], mers | nucleoprotein [Middle East respiratory syndrome-related coronavirus], 673
mers | NS4B protein [Middle East respiratory syndrome-related coronavirus], mers | ORF8b protein [Middle East respiratory syndrome-related coronavirus], 440
mers | NS4B protein [Middle East respiratory syndrome-related coronavirus], mers | 1AB polyprotein [Middle East respiratory syndrome-related coronavirus], 20493
mers | NS4B protein [Middle East respiratory syndrome-related coronavirus], mers | 1A polyprotein [Middle East respiratory syndrome-related coronavirus], 12432
mers | NS4B protein [Middle East respiratory syndrome-related coronavirus], sars1 | spike glycoprotein [SARS coronavirus Tor2], 3027
mers | NS4B protein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF3a protein [SARS coronavirus Tor2], 402
mers | NS4B protein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF3b protein [SARS coronavirus Tor2], 392
mers | NS4B protein [Middle East respiratory syndrome-related coronavirus], sars1 | small envelope protein [SARS coronavirus Tor2], 515
mers | NS4B protein [Middle East respiratory syndrome-related coronavirus], sars1 | membrane glycoprotein M [SARS coronavirus Tor2], 381
mers | NS4B protein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF6 protein [SARS coronavirus Tor2], 550
mers | NS4B protein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF7a protein [SARS coronavirus Tor2], 425
mers | NS4B protein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF7b protein [SARS coronavirus Tor2], 606
mers | NS4B protein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF8a protein [SARS coronavirus Tor2], 621
mers | NS4B protein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF8b protein [SARS coronavirus Tor2], 498
mers | NS4B protein [Middle East respiratory syndrome-related coronavirus], sars1 | nucleocapsid protein [SARS coronavirus Tor2], 696
mers | NS4B protein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF9b protein [SARS coronavirus Tor2], 473
mers | NS4B protein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF9a protein [SARS coronavirus Tor2], 536
mers | NS4B protein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF1ab polyprotein [SARS coronavirus Tor2], 20478
mers | NS4B protein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF1a polyprotein [SARS coronavirus Tor2], 12405
mers | NS5 protein [Middle East respiratory syndrome-related coronavirus], mers | envelope protein [Middle East respiratory syndrome-related coronavirus], 440
mers | NS5 protein [Middle East respiratory syndrome-related coronavirus], mers | membrane protein [Middle East respiratory syndrome-related coronavirus], 339
mers | NS5 protein [Middle East respiratory syndrome-related coronavirus], mers | nucleoprotein [Middle East respiratory syndrome-related coronavirus], 698
mers | NS5 protein [Middle East respiratory syndrome-related coronavirus], mers | ORF8b protein [Middle East respiratory syndrome-related coronavirus], 395
mers | NS5 protein [Middle East respiratory syndrome-related coronavirus], mers | 1AB polyprotein [Middle East respiratory syndrome-related coronavirus], 20559
mers | NS5 protein [Middle East respiratory syndrome-related coronavirus], mers | 1A polyprotein [Middle East respiratory syndrome-related coronavirus], 12498
mers | NS5 protein [Middle East respiratory syndrome-related coronavirus], sars1 | spike glycoprotein [SARS coronavirus Tor2], 3093
mers | NS5 protein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF3a protein [SARS coronavirus Tor2], 397
mers | NS5 protein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF3b protein [SARS coronavirus Tor2], 342
mers | NS5 protein [Middle East respiratory syndrome-related coronavirus], sars1 | small envelope protein [SARS coronavirus Tor2], 453
mers | NS5 protein [Middle East respiratory syndrome-related coronavirus], sars1 | membrane glycoprotein M [SARS coronavirus Tor2], 349
mers | NS5 protein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF6 protein [SARS coronavirus Tor2], 485
mers | NS5 protein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF7a protein [SARS coronavirus Tor2], 377
mers | NS5 protein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF7b protein [SARS coronavirus Tor2], 540
mers | NS5 protein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF8a protein [SARS coronavirus Tor2], 555
mers | NS5 protein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF8b protein [SARS coronavirus Tor2], 437
mers | NS5 protein [Middle East respiratory syndrome-related coronavirus], sars1 | nucleocapsid protein [SARS coronavirus Tor2], 726
mers | NS5 protein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF9b protein [SARS coronavirus Tor2], 419
mers | NS5 protein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF9a protein [SARS coronavirus Tor2], 467
mers | NS5 protein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF1ab polyprotein [SARS coronavirus Tor2], 20544
mers | NS5 protein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF1a polyprotein [SARS coronavirus Tor2], 12471
mers | envelope protein [Middle East respiratory syndrome-related coronavirus], mers | membrane protein [Middle East respiratory syndrome-related coronavirus], 427
mers | envelope protein [Middle East respiratory syndrome-related coronavirus], mers | nucleoprotein [Middle East respiratory syndrome-related coronavirus], 993
mers | envelope protein [Middle East respiratory syndrome-related coronavirus], mers | ORF8b protein [Middle East respiratory syndrome-related coronavirus], 176
mers | envelope protein [Middle East respiratory syndrome-related coronavirus], mers | 1AB polyprotein [Middle East respiratory syndrome-related coronavirus], 20985
mers | envelope protein [Middle East respiratory syndrome-related coronavirus], mers | 1A polyprotein [Middle East respiratory syndrome-related coronavirus], 12924
mers | envelope protein [Middle East respiratory syndrome-related coronavirus], sars1 | spike glycoprotein [SARS coronavirus Tor2], 3519
mers | envelope protein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF3a protein [SARS coronavirus Tor2], 578
mers | envelope protein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF3b protein [SARS coronavirus Tor2], 259
mers | envelope protein [Middle East respiratory syndrome-related coronavirus], sars1 | small envelope protein [SARS coronavirus Tor2], 114
mers | envelope protein [Middle East respiratory syndrome-related coronavirus], sars1 | membrane glycoprotein M [SARS coronavirus Tor2], 430
mers | envelope protein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF6 protein [SARS coronavirus Tor2], 121
mers | envelope protein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF7a protein [SARS coronavirus Tor2], 192
mers | envelope protein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF7b protein [SARS coronavirus Tor2], 137
mers | envelope protein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF8a protein [SARS coronavirus Tor2], 147
mers | envelope protein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF8b protein [SARS coronavirus Tor2], 129
mers | envelope protein [Middle East respiratory syndrome-related coronavirus], sars1 | nucleocapsid protein [SARS coronavirus Tor2], 1020
mers | envelope protein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF9b protein [SARS coronavirus Tor2], 156
mers | envelope protein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF9a protein [SARS coronavirus Tor2], 131
mers | envelope protein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF1ab polyprotein [SARS coronavirus Tor2], 20970
mers | envelope protein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF1a polyprotein [SARS coronavirus Tor2], 12897
mers | membrane protein [Middle East respiratory syndrome-related coronavirus], mers | nucleoprotein [Middle East respiratory syndrome-related coronavirus], 709
mers | membrane protein [Middle East respiratory syndrome-related coronavirus], mers | ORF8b protein [Middle East respiratory syndrome-related coronavirus], 374
mers | membrane protein [Middle East respiratory syndrome-related coronavirus], mers | 1AB polyprotein [Middle East respiratory syndrome-related coronavirus], 20574
mers | membrane protein [Middle East respiratory syndrome-related coronavirus], mers | 1A polyprotein [Middle East respiratory syndrome-related coronavirus], 12513
mers | membrane protein [Middle East respiratory syndrome-related coronavirus], sars1 | spike glycoprotein [SARS coronavirus Tor2], 3108
mers | membrane protein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF3a protein [SARS coronavirus Tor2], 396
mers | membrane protein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF3b protein [SARS coronavirus Tor2], 333
mers | membrane protein [Middle East respiratory syndrome-related coronavirus], sars1 | small envelope protein [SARS coronavirus Tor2], 439
mers | membrane protein [Middle East respiratory syndrome-related coronavirus], sars1 | membrane glycoprotein M [SARS coronavirus Tor2], 293
mers | membrane protein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF6 protein [SARS coronavirus Tor2], 469
mers | membrane protein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF7a protein [SARS coronavirus Tor2], 362
mers | membrane protein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF7b protein [SARS coronavirus Tor2], 525
mers | membrane protein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF8a protein [SARS coronavirus Tor2], 540
mers | membrane protein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF8b protein [SARS coronavirus Tor2], 418
mers | membrane protein [Middle East respiratory syndrome-related coronavirus], sars1 | nucleocapsid protein [SARS coronavirus Tor2], 726
mers | membrane protein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF9b protein [SARS coronavirus Tor2], 400
mers | membrane protein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF9a protein [SARS coronavirus Tor2], 452
mers | membrane protein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF1ab polyprotein [SARS coronavirus Tor2], 20559
mers | membrane protein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF1a polyprotein [SARS coronavirus Tor2], 12486
mers | nucleoprotein [Middle East respiratory syndrome-related coronavirus], mers | ORF8b protein [Middle East respiratory syndrome-related coronavirus], 903
mers | nucleoprotein [Middle East respiratory syndrome-related coronavirus], mers | 1AB polyprotein [Middle East respiratory syndrome-related coronavirus], 19992
mers | nucleoprotein [Middle East respiratory syndrome-related coronavirus], mers | 1A polyprotein [Middle East respiratory syndrome-related coronavirus], 11931
mers | nucleoprotein [Middle East respiratory syndrome-related coronavirus], sars1 | spike glycoprotein [SARS coronavirus Tor2], 2576
mers | nucleoprotein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF3a protein [SARS coronavirus Tor2], 642
mers | nucleoprotein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF3b protein [SARS coronavirus Tor2], 806
mers | nucleoprotein [Middle East respiratory syndrome-related coronavirus], sars1 | small envelope protein [SARS coronavirus Tor2], 1011
mers | nucleoprotein [Middle East respiratory syndrome-related coronavirus], sars1 | membrane glycoprotein M [SARS coronavirus Tor2], 702
mers | nucleoprotein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF6 protein [SARS coronavirus Tor2], 1050
mers | nucleoprotein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF7a protein [SARS coronavirus Tor2], 882
mers | nucleoprotein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF7b protein [SARS coronavirus Tor2], 1107
mers | nucleoprotein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF8a protein [SARS coronavirus Tor2], 1122
mers | nucleoprotein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF8b protein [SARS coronavirus Tor2], 987
mers | nucleoprotein [Middle East respiratory syndrome-related coronavirus], sars1 | nucleocapsid protein [SARS coronavirus Tor2], 547
mers | nucleoprotein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF9b protein [SARS coronavirus Tor2], 945
mers | nucleoprotein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF9a protein [SARS coronavirus Tor2], 1029
mers | nucleoprotein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF1ab polyprotein [SARS coronavirus Tor2], 19977
mers | nucleoprotein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF1a polyprotein [SARS coronavirus Tor2], 11904
mers | ORF8b protein [Middle East respiratory syndrome-related coronavirus], mers | 1AB polyprotein [Middle East respiratory syndrome-related coronavirus], 20895
mers | ORF8b protein [Middle East respiratory syndrome-related coronavirus], mers | 1A polyprotein [Middle East respiratory syndrome-related coronavirus], 12834
mers | ORF8b protein [Middle East respiratory syndrome-related coronavirus], sars1 | spike glycoprotein [SARS coronavirus Tor2], 3429
mers | ORF8b protein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF3a protein [SARS coronavirus Tor2], 518
mers | ORF8b protein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF3b protein [SARS coronavirus Tor2], 231
mers | ORF8b protein [Middle East respiratory syndrome-related coronavirus], sars1 | small envelope protein [SARS coronavirus Tor2], 173
mers | ORF8b protein [Middle East respiratory syndrome-related coronavirus], sars1 | membrane glycoprotein M [SARS coronavirus Tor2], 385
mers | ORF8b protein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF6 protein [SARS coronavirus Tor2], 191
mers | ORF8b protein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF7a protein [SARS coronavirus Tor2], 185
mers | ORF8b protein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF7b protein [SARS coronavirus Tor2], 219
mers | ORF8b protein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF8a protein [SARS coronavirus Tor2], 226
mers | ORF8b protein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF8b protein [SARS coronavirus Tor2], 172
mers | ORF8b protein [Middle East respiratory syndrome-related coronavirus], sars1 | nucleocapsid protein [SARS coronavirus Tor2], 931
mers | ORF8b protein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF9b protein [SARS coronavirus Tor2], 179
mers | ORF8b protein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF9a protein [SARS coronavirus Tor2], 184
mers | ORF8b protein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF1ab polyprotein [SARS coronavirus Tor2], 20880
mers | ORF8b protein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF1a polyprotein [SARS coronavirus Tor2], 12807
mers | 1AB polyprotein [Middle East respiratory syndrome-related coronavirus], mers | 1A polyprotein [Middle East respiratory syndrome-related coronavirus], 8061
mers | 1AB polyprotein [Middle East respiratory syndrome-related coronavirus], sars1 | spike glycoprotein [SARS coronavirus Tor2], 17466
mers | 1AB polyprotein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF3a protein [SARS coronavirus Tor2], 20409
mers | 1AB polyprotein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF3b protein [SARS coronavirus Tor2], 20769
mers | 1AB polyprotein [Middle East respiratory syndrome-related coronavirus], sars1 | small envelope protein [SARS coronavirus Tor2], 21003
mers | 1AB polyprotein [Middle East respiratory syndrome-related coronavirus], sars1 | membrane glycoprotein M [SARS coronavirus Tor2], 20568
mers | 1AB polyprotein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF6 protein [SARS coronavirus Tor2], 21042
mers | 1AB polyprotein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF7a protein [SARS coronavirus Tor2], 20865
mers | 1AB polyprotein [Middle East respiratory syndrome-related coronavirus], sars1 | ORF7b protein [SARS coronavirus Tor2], 21099
